Vessel,Days,horus,1176,1152,1128,1104,1080,1056,1032,1008,984,960,936,912,888,864,840,816,792,768,744,720,696,672,648,624,600,576,552,528,504,480,456,432,408,384,360,336,312,288,264,240,216,192,168,144,120,96,72,48,24,
1:01C,20,480,,,,,,,,,,,,,,,,,,,,,,-0.2,0.5,1.8,2.6,5.2,7.1,9.4,12.1,13.9,17.4,20.1,21,,,,,,,,,,,,,,,,,12
1:01C,45,1080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.4,0.7,3
1:02C,14,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,-1.3,3.7,-0.3,0.5,2,3.2,7
1:02C,17,408,,,,,,,,,,,,,,,,,,,-1,-0.3,0.2,1.4,3,4.1,5.2,7.7,7.2,,,,,,,,,,,,,,,,,,,,,,,9
1:03C,25,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,-1,-0.2,1.3,2.3,4.7,7.3,10.7,14.5,20.4,20.9,,,,,,,,,,,11
1:03C,8,192,,,,,,,,,,-0.5,-0.1,0.9,2.3,3.9,6,8.4,11.4,15,19.1,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
1:06C,14,336,,,,,,,,,,,,,,,,-1.5,-1,-0.4,0.5,1.6,2.6,3.7,5,7.2,8,10.5,12.3,14,16,17,19.7,22.1,22.4,,,,,,,,,,,,,,,,,18
2:02B,15,360,,,,,,,,,,,,,,,,,-2,-2.1,-1.7,-1.3,-1,-0.3,0.2,1,0.9,2.6,3.4,4.3,5,5.7,6.4,7.6,9.1,10.4,12.1,13.6,14.8,16.2,18.2,20.7,22.3,23.1,,,,,,,,26
2:03C,23,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,21,21.6,,,,,,,,,3
2:04C,14,336,,,,,,,,,,,,,,,,-0.9,-0.3,4.5,5.6,6.5,6.7,9.8,13.6,16.1,14.4,18.9,,,,,,,,,,,,,,,,,,,,,,,,11
2:04C,9,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,1.9,2.2,3.5,3.9,4.4,5.4,6.6,7,8.1,9.1,10.9,12,14.8,15.6,18.5,19.1,20,20,19
2:09C,38,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,8.3,14.4,16.9,,,,,,,,,,,4
2:09C,23,552,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-0.4,0.3,0.8,1.9,2.6,4.4,5.2,7.6,8.4,10.5,,,,,,,,,,,,,,,11
3:01B,37,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,4,5.3,9.4,10.9,16.1,18.5,7
3:01B,23,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,13.9,15.5,,,,,,,,,,,,,3
5:01B,15,360,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3,-1.4,-1,-1,-0.7,-0.1,0.1,0.4,0.6,1.3,2.3,3.3,3.7,4.7,5.7,7.3,8.1,10.1,10.9,13.5,11.8,16.5,18.7,23
5:03B,18,432,,,,,,,,,,,,,,,,,,,,,-1.2,-1,-0.8,-0.3,-0.3,0.2,0.7,1.1,1.5,1.8,2.3,3,3.2,3.9,4.7,5.3,6,7.1,7.3,8.4,9.3,10.8,11.4,13.3,14.2,16.5,17.4,18.8,20.1,29
5:04B,19,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-0.9,-0.2,1.1,1.6,8.7,3.5,7
5:05C,4,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,4.9,5.4,7,8.2,10,12.2,7
5:05C,4,96,,,,,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
